rango_edad,respuesta_valor,respuesta_texto,frecuencia,total_rango,porcentaje
18-24,1,Totalmente en desacuerdo,50,348,14.37
18-24,2,En desacuerdo,39,348,11.21
18-24,3,Ni de acuerdo ni en desacuerdo,68,348,19.54
18-24,4,De acuerdo,75,348,21.55
18-24,5,Totalmente de acuerdo,116,348,33.33
25-34,1,Totalmente en desacuerdo,27,177,15.25
25-34,2,En desacuerdo,12,177,6.78
25-34,3,Ni de acuerdo ni en desacuerdo,39,177,22.03
25-34,4,De acuerdo,42,177,23.73
25-34,5,Totalmente de acuerdo,57,177,32.2
35-44,1,Totalmente en desacuerdo,1,24,4.17
35-44,2,En desacuerdo,4,24,16.67
35-44,3,Ni de acuerdo ni en desacuerdo,6,24,25.0
35-44,4,De acuerdo,3,24,12.5
35-44,5,Totalmente de acuerdo,10,24,41.67
45-54,1,Totalmente en desacuerdo,4,21,19.05
45-54,3,Ni de acuerdo ni en desacuerdo,1,21,4.76
45-54,4,De acuerdo,3,21,14.29
45-54,5,Totalmente de acuerdo,13,21,61.9
55-64,1,Totalmente en desacuerdo,1,5,20.0
55-64,3,Ni de acuerdo ni en desacuerdo,2,5,40.0
55-64,4,De acuerdo,1,5,20.0
55-64,5,Totalmente de acuerdo,1,5,20.0
