platform,date,user,content,likes,shares,comments,source_url,sentiment_label,sentiment_score
facebook,,,"Aquí estamos para servir, aquí estamos para entregarnos al país.",50168,2683,5349,https://www.facebook.com/DanielNoboaOk/posts/pfbid02ZFAixWDkf1WCxpopKXf6uqZikXMBqSp6zGvH2ELnPoQc24JkJDq9Lt2ugqpfCA1Sl,neutral,0.4780380129814148
facebook,,,🇪🇨,60457,2394,5802,https://www.facebook.com/DanielNoboaOk/posts/pfbid0AMimsXxRba5pyRecZu7odZvF3kc73yKArPHbuKazbJuiyfBGTED1B5TowhuWrgcwl,neutral,0.6244810819625854
facebook,,,😉,55457,3053,3945,https://www.facebook.com/reel/1055937106405028/,positive,0.49173375964164734
facebook,,,Hoy Ecuador decide avanzar.,10000,2284,2740,https://www.facebook.com/DanielNoboaOk/posts/pfbid0bSWUDGnEQY2HN3UPNGvMzAPe4KP697sd1AZBiLcxvYa6gcLBBexvwWwiuTAPzJhFl,positive,0.8092701435089111
facebook,,,"Hoy, el país está en tus manos. Gracias por todas las bendiciones y por traernos hasta aquí.",10000,2039,2643,https://www.facebook.com/DanielNoboaOk/posts/pfbid02aJesUc8sKvebW5Y7QyGtPWC88LfwXC9AoQNu3NLWY6FJtdWHbeT8wsJrE9S23oR9l,positive,0.88901287317276
facebook,,,Por ustedes todo esto tiene sentido ,10000,1710,1281,https://www.facebook.com/DanielNoboaOk/videos/1201141151630562/,positive,0.5118443965911865
facebook,,,Esto es por amor al país ,80720,6997,10046,https://www.facebook.com/reel/666064779499899/,positive,0.514798104763031
facebook,,,Es momento de ir por más. Juntos. ,68308,5896,6505,https://www.facebook.com/reel/1195488845322679/,neutral,0.5303338170051575
facebook,,,"Este proyecto se basa en justicia, en amor por este país ",16017,1233,1284,https://www.facebook.com/DanielNoboaOk/videos/2449202585441233/,neutral,0.4762975573539734
facebook,,,Vamos por ese Ecuador para Adelante ,12333,759,683,https://www.facebook.com/reel/2091732898012048/,positive,0.6519916653633118
facebook,,,"Gracias por todo el cariño, vamos a sacar a Ecuador para adelante junto a todos ustedes ",16384,1177,1205,https://www.facebook.com/reel/609079498775618/,positive,0.8880128264427185
facebook,,,"Cuando estamos juntos somos invencibles, los ecuatorianos sabemos levantarnos, estar de pie y nunca abandonar nuestros sueños. Eso es lo que somos. ",5353,493,554,https://www.facebook.com/DanielNoboaOk/posts/pfbid0RNTDYApReR1o4pfrJ257vwxd9EBf5cCMkQMgReB8iev4aKiwchm22j7AZgNHdoERl,positive,0.7437238097190857
facebook,,,"Somos valientes, dispuestos a hacer lo imposible por nuestros país. Ya lo hemos demostrado antes, y lo seguiremos haciendo ahora. ",3895,295,323,https://www.facebook.com/DanielNoboaOk/posts/pfbid02yQzLdwzsD1kCVUX1Ur8hrvxWyt3yVrkWcShkNtiyoGWsqc1cR64PhbENSrdV83Uql,positive,0.6108240485191345
facebook,,,"Como ecuatorianos sabemos que nuestro camino es hacia adelante, no sabemos quedarnos de brazos cruzados, no sabemos retroceder, y sobre todo no sabemos rendirnos. ",3277,226,481,https://www.facebook.com/DanielNoboaOk/posts/pfbid02tv5zZ1aPAxKhFT937ExRBeQA6iryeyHhKLmfPPMXm1j4pUxYyP5azgdcvJNghPfKl,neutral,0.5233148336410522
facebook,,,"Es momento de vivir sin miedo, de dejar atrás la sombra del pasado y avanzar con convicción hacia el futuro. ",6389,578,691,https://www.facebook.com/DanielNoboaOk/posts/pfbid0KVpta3oN4bA9CQVjTz5xc5fgmeL23BnEuezezfS7EXDnCDxVWD4ejACAVMCCzrxUl,neutral,0.560142457485199
facebook,,,"Este trabajo no ha terminado, aún hay bastante por hacer ",4503,315,319,https://www.facebook.com/reel/542141051877719/,neutral,0.6005417108535767
facebook,,,Esto es por ustedes ,11318,1015,857,https://www.facebook.com/reel/1181127360285580/,neutral,0.6721245050430298
facebook,,,"Los ecuatorianos estamos listos. Sabemos que este país va a ir hacia adelante, no hay tiempo que perder. ",6321,774,703,https://www.facebook.com/DanielNoboaOk/posts/pfbid02G96yZUD3MBoddt7chSwnx2QZuNEG1Xz9qKjHgVZxGkgJiyYi7ctSRtfr5hQ2toZGl,positive,0.6935067176818848
facebook,,,En familia.,161470,4162,18212,https://www.facebook.com/DanielNoboaOk/posts/pfbid02213bWsYU4REqDSvXPt8gtQigwLgL2Rnjwedo85kygEooseXQ26hPJbSDTg9JJhWdl,neutral,0.6257085204124451
facebook,,,"Merecemos el país que soñamos: uno de paz, de trabajo y de esperanza. ",5569,548,527,https://www.facebook.com/DanielNoboaOk/posts/pfbid03zNZE7SdrFdevMq9C8bCAGBJBKrNzhpvHLX1RZcQ3rvHixmBxAErHPrTzEcgJcUnl,positive,0.7764612436294556
facebook,,,"Este Ecuador va hacia adelante, sin excusas. Este es el momento en el que juntos cambiamos la historia de nuestro país. ",5059,247,522,https://www.facebook.com/DanielNoboaOk/posts/pfbid033naKWYVYt8nK1crns7FQLLiJCPuTbuWGackBNt2sZPy3rdx6oqoJvctPgp1JJqRpl,positive,0.8201598525047302
facebook,,,Este es el momento en el que reescribimos la historia de nuestro país. ,3313,198,323,https://www.facebook.com/DanielNoboaOk/posts/pfbid0Yrzy9pYmUGAzp4TTQqjh1yzr9LiYZ6JZbviz4S9pprRA4S1mHs46MyhgAMtsgkMYl,neutral,0.5647318959236145
facebook,,,No permitiré que los buenos sean castigados por cumplir su deber.,84378,11780,9309,https://www.facebook.com/DanielNoboaOk/posts/pfbid0wvc4JruJJQN2cDwsC4GTtgKhkbUPmXz8zahtFFR68TnjyWpeGk2sZeCDBkGrNqRHl,negative,0.8007708787918091
facebook,,,No damos ni un paso atrás. A este Ecuador lo vamos a sacar adelante. Ese es un hecho. ,6744,534,1241,https://www.facebook.com/DanielNoboaOk/posts/pfbid02ZuW2Ke8eWt4oh3rCNYVFnAyX7CgzNtrvGDVSw3KroRhSi1iWvpfJv4k5myqY1Sd3l,positive,0.7314267754554749
facebook,,,"No estamos dispuestos a rendirnos, esto va por todos los ecuatorianos que queremos sacar a nuestro país adelante. ",23492,1548,2927,https://www.facebook.com/DanielNoboaOk/posts/pfbid02GZMAYTm1Sjs5tMhyUJnePfuEC1jJiBuWdt3G3X9F5vhCYyZ3S79yDbSX3TDq6Yshl,neutral,0.4764367341995239
facebook,,,"Estamos frente a una gran decisión, es hora de elegir llevar a nuestro Ecuador hacia adelante con convicción y determinación. ",36847,3690,8083,https://www.facebook.com/DanielNoboaOk/posts/pfbid024VXhXmRCTD4bjecrSV2Gtx2Voy4F3vjEsb881EF3ESyJ5VMfFBw3LJXfpWMGBB3al,positive,0.85611492395401
facebook,,,"Cada día estamos más cerca de ser el país que queremos: uno libre de mafias, con inversión y que va hacia adelante. ",10000,1309,3260,https://www.facebook.com/DanielNoboaOk/posts/pfbid02KW3VsEQkV7o3YhTNqefKnBsrgLBG9LfydreTRstSMZH9Y6hPaUjYSu8RWdrN6sSRl,positive,0.7510401606559753
facebook,,,Equipamos a las Fuerzas Armadas para brindar seguridad a las familias ecuatorianas. 🇪🇨 💪✅️ Vehículos tácticos multipropósito y blindados.✅️ Cascos y chalecos.✅️ Camionetas para operativos. ,64266,6829,5516,https://www.facebook.com/reel/1979711315888198/,positive,0.5375296473503113
facebook,,,Gracias Ecuador. Vamos para adelante 🇪🇨,18156,1208,1653,https://www.facebook.com/reel/1338843030504371/,positive,0.8700160980224609
facebook,,,"Esto es por ti, por tu familia y por todo el Ecuador 🇪🇨 Este país no puede rendirse, no puede entregarse a las mafias.",66999,4677,5972,https://www.facebook.com/DanielNoboaOk/posts/pfbid02aEBAnJC7GMGY7kBNEBYfXkCPTHSeJPBihQbhq1oJkVyisucTwwwg4HvFiUg37Y6Gl,neutral,0.4308414161205292
facebook,,,"Este país no podemos regalárselo a las mafias. Nosotros jamás cederemos, seguiremos avanzando, seguiremos yendo hacia adelante. ",56754,4234,5809,https://www.facebook.com/reel/698956022811686/,neutral,0.4444342851638794
facebook,,,Vamos a instalar plantas desalinizadoras para garantizar agua potable en las zonas donde más se la necesita. Vamos a resolver con determinación. ,2700,165,306,https://www.facebook.com/DanielNoboaOk/posts/pfbid0AHu43CuDGLuEmBJJvrUZEiqAqgoN2rageUvDJXt3ALZ1KUXyJqtt4r7drQ3XATAXl,neutral,0.5149686336517334
facebook,,,El sector productivo de Manabí necesita alivio y fuerza para crecer. Vamos a entregar créditos con bajo interés para reactivar la economía desde el trabajo real. Es hora de darles el empuje que merecen. ,2618,144,348,https://www.facebook.com/DanielNoboaOk/posts/pfbid0yDXJutehAPMC8TBzRPLn2XjKqf7S13VHNz48goniGMxcRBGrTwMF2iDwCzrkwGtYl,positive,0.7631068825721741
facebook,,,"Jipijapa necesita un hospital moderno y equipado. Vamos a financiarlo. No más traslados innecesarios, no más espera. Vamos a poner la salud donde tiene que estar: cerca y al servicio de todos. ",6685,1109,814,https://www.facebook.com/DanielNoboaOk/posts/pfbid0EADVkimPyXE51wdLJFDZW6imGn3uei8PtXZSDboBSWZom13vbi1HxExtx21usutGl,neutral,0.479955792427063
facebook,,,"Vamos a entregar créditos productivos que sirvan de verdad. Que se usen para crecer, contratar, producir más. La provincia necesita inversión, y nosotros vamos a moverla. ",2815,127,251,https://www.facebook.com/DanielNoboaOk/posts/pfbid01UuPtvVjRRo2VVbgaoLGib5RczjEVV919fZEWoNkTYfGbWNjb7AXpcxPmpc2FQjzl,positive,0.5706272721290588
facebook,,,"El campo no solo produce, sostiene al país. Vamos a industrializar el sector agrícola para que ese esfuerzo se convierta en empleo, exportación y desarrollo local. Ya es hora. ",2923,136,243,https://www.facebook.com/DanielNoboaOk/posts/pfbid02ZoAe7tMifqStyiNMLgyFaAxVpYmmD5kRCni5YkRbhyvQUwLHimMWjLnE59H6SwB3l,positive,0.6336005330085754
facebook,,,"Las vías de Buena Fe, Quevedo, Ventanas y Vinces necesitan una intervención urgente. Las vamos a modernizar. Porque el desarrollo empieza con infraestructura. ",5360,316,630,https://www.facebook.com/DanielNoboaOk/posts/pfbid02dAmCA6jBDipNi5mGwGUjNaK7VutJS2cVT3RxZdZyKtBzdqSptzLvDfJcKYM6QYNVl,neutral,0.5143687725067139
facebook,,,"La provincia necesita un hospital moderno, con especialidades clave. Lo vamos a financiar. Salud digna y oportuna, sin tener que salir a otra ciudad para ser atendidos. ",4900,408,706,https://www.facebook.com/DanielNoboaOk/posts/pfbid0XwpDj7zXMPWbVgmkezdb4eRNMuWTzZHrUEEkmV9NaWLiPNkdzwZfkeXJcDYNfaKyl,neutral,0.4514748752117157
facebook,,,"Nuestros pescadores son el alma de la costa. Vamos a crear un fondo de apoyo que los respalde, los impulse y les permita trabajar con dignidad. ",2952,154,291,https://www.facebook.com/DanielNoboaOk/posts/pfbid0Mv3z6Gsz69okGt23K72k6wdRTsUEZeBMoTQPJ8ETZdbYkvWtycaURSv2nJBDrMcGl,positive,0.6991188526153564
facebook,,,Aquí hay gente valiente que emprende a pesar de las dificultades. Vamos a financiar a pequeños comerciantes y emprendedores de la provincia. Porque el crecimiento tiene que llegar desde abajo y para todos. ,1906,70,153,https://www.facebook.com/DanielNoboaOk/posts/pfbid0CJXzJtbcbsazkdmEjeT2ZFUhzdCxRUKjJaeMujeXBFFZFLzisiRxUt3mhM32jbutl,positive,0.7187621593475342
facebook,,,Las mujeres de esta provincia necesitan herramientas reales para crecer. Vamos a entregar créditos violetas al 3%. ,3143,138,305,https://www.facebook.com/DanielNoboaOk/posts/pfbid0gntCi26czdNhBjyHsPTzaB9AwZtyaGaQwSD7MrGRkXN3mj7EPBy6qPeJ298uXJbKl,neutral,0.5636033415794373
facebook,,,La vía Paralelo Cero es clave para el desarrollo y la seguridad vial de la provincia. Sabemos que lleva años en mal estado. Vamos a reconstruirla como se debe. ,1457,48,135,https://www.facebook.com/DanielNoboaOk/posts/pfbid033V6rG7jcLnSZZnV4gfQdJMeLN1WLrQG1FsXy9PfJJapxbyCwM7tBfpb91vgb4GoQl,negative,0.5784745216369629
facebook,,,Nuestros adultos mayores no pueden seguir siendo olvidados. Vamos a construir un centro gerontológico con atención de calidad y sumar más personal médico en la provincia. ,1936,85,120,https://www.facebook.com/DanielNoboaOk/posts/pfbid0L5gVEsmVriUKGk2zsBHkC7rFMziXqLF6wiuZ7uHLRERXS3rUpUcqPWkNcC9EyMEYl,positive,0.4584585130214691
facebook,,,Propuestas que no pongan en riesgo al país no las encuentras en otro lado 🫡 ,7767,382,441,https://www.facebook.com/reel/559165596691770/,negative,0.793893575668335
facebook,,,"Este 13 de abril tienes una decisión que tomar. Elige avanzar, no retroceder. Elige hechos, no cuentos. ",27920,1540,5132,https://www.facebook.com/DanielNoboaOk/posts/pfbid0WXgtRUnuNxTFtcyAhVx3tYi7sn5vELRauyRTJrx7CmAehwnSHXNGKsa8JrWpoT8nl,neutral,0.5808117985725403
facebook,,,"Estamos por reescribir la historia de nuestro país: una historia de trabajo, honor y compromiso con los ecuatorianos. Es ahora o nunca, hay que ir hacia adelante 🇪🇨 ",5219,380,775,https://www.facebook.com/DanielNoboaOk/posts/pfbid023QWu64aLd9yxZrdjhPEnA7ogmL3LUdXJkuKFa5yABGu3GRYRqi36aF8cAE42f3iwl,positive,0.8228620290756226
facebook,,,"Les queda poco tiempo, después de esta no hay vuelta atrás 😉 ",20171,1592,1687,https://www.facebook.com/reel/1062136139088750/,positive,0.5679654479026794
facebook,,,"Este 13 de abril tienes una decisión que tomar. Elige avanzar, no retroceder. Elige proyectos reales, no las mentiras de siempre. ",20520,1190,4554,https://www.facebook.com/DanielNoboaOk/posts/pfbid03M2EsZgcWW5FfLhsp7mvehQgKuqMyufFNssc2GyyhNVHkFz6Ro2CaEhV2xBeEAezl,neutral,0.5898342132568359
facebook,,,"Este 13 de abril tienes una decisión que tomar. Elige avanzar, no retroceder. Elige ser libre. Elige a tu país. ",57411,6287,14488,https://www.facebook.com/DanielNoboaOk/posts/pfbid02NiMeNDdN8E4v2n2jhfZEm4aY8EZjDZwhy1bJtrCHgAmnEJLhbA1yXyF1jhcjLGt4l,neutral,0.576529324054718
facebook,,,Nuestro voz va a quedar plasmada en la historia del Ecuador: una voz que solo grita hacia adelante. ,101990,13068,11961,https://www.facebook.com/reel/1003352435078669/,positive,0.7470864057540894
facebook,,,"Este 13 de abril vamos por ese Ecuador que ustedes se merecen, por ese país que el pasado intenta arrebatarnos.Nos vemos mañana Guayaquil. ",206404,23894,35586,https://www.facebook.com/reel/703825782324376/,positive,0.6921222805976868
facebook,,,Gracias Quito,33792,4182,3027,https://www.facebook.com/reel/671411145831964/,positive,0.6955553889274597
facebook,,,"Falta poco. Ecuador se está despertando y no permitirá que el pasado vuelva. Gracias, Quito.",108243,6391,12437,https://www.facebook.com/DanielNoboaOk/posts/pfbid02JsgEpyiuBJvZE8svAJ9vxVz44yZYTEz42uG1fJ5Dr4jaEjU3rdzWXGN1eKequbrml,positive,0.6198296546936035
facebook,,,"Este 13 de abril tienes una decisión que tomar. Elige avanzar, no retroceder. Elige tu país, no a las mafias. ",76688,11879,17988,https://www.facebook.com/DanielNoboaOk/posts/pfbid02dc6hXtBnm5y4uzRremh4hu55hZQpDhBzaBoaYzxtkx19MVCV2p8nm4NM8xwh9Boql,neutral,0.5725030303001404
facebook,,,Este 13 de abril protege al país que el pasado te quiere arrebatar. ,6597,426,706,https://www.facebook.com/DanielNoboaOk/posts/pfbid02JkgrL1RKmAmW1RMihbteUzLRwVtQpXCD1Z3CHDrqTYL3kB78mVbZpaRZU4Uo2U5Wl,positive,0.5325512290000916
facebook,,,"Este 13 de abril vota por tu país, por tu futuro, por el de tus hijos. Vota por la libertad, no la dictadura. ",33232,5515,2816,https://www.facebook.com/reel/1430557458308466/,neutral,0.603033721446991
facebook,,,Este 13 de abril protege al país que el pasado te quiere arrebatar ,49286,3767,3890,https://www.facebook.com/reel/1663265417707755/,positive,0.4870612919330597
