Real,Predicho,Cantidad,Modelo,Configuración
Muy baja,Muy baja,7,Random Forest,5 niveles
Muy baja,Baja,1,Random Forest,5 niveles
Muy baja,Media,0,Random Forest,5 niveles
Muy baja,Alta,3,Random Forest,5 niveles
Muy baja,Muy alta,0,Random Forest,5 niveles
Baja,Muy baja,2,Random Forest,5 niveles
Baja,Baja,34,Random Forest,5 niveles
Baja,Media,13,Random Forest,5 niveles
Baja,Alta,12,Random Forest,5 niveles
Baja,Muy alta,1,Random Forest,5 niveles
Media,Muy baja,2,Random Forest,5 niveles
Media,Baja,16,Random Forest,5 niveles
Media,Media,26,Random Forest,5 niveles
Media,Alta,6,Random Forest,5 niveles
Media,Muy alta,0,Random Forest,5 niveles
Alta,Muy baja,0,Random Forest,5 niveles
Alta,Baja,18,Random Forest,5 niveles
Alta,Media,15,Random Forest,5 niveles
Alta,Alta,11,Random Forest,5 niveles
Alta,Muy alta,2,Random Forest,5 niveles
Muy alta,Muy baja,0,Random Forest,5 niveles
Muy alta,Baja,0,Random Forest,5 niveles
Muy alta,Media,1,Random Forest,5 niveles
Muy alta,Alta,2,Random Forest,5 niveles
Muy alta,Muy alta,1,Random Forest,5 niveles
