Modelo,Configuración,Seed,AUC_OvR,Accuracy,F1_ponderado,QWK
Logistic Regression,5 niveles,0,0.5576375053317327,0.3468208092485549,0.3536720690330332,0.1534639215864504
Logistic Regression,5 niveles,7,0.5940955194379508,0.3699421965317919,0.3736463016916751,0.285507109303572
Logistic Regression,5 niveles,13,0.5979727243345847,0.3352601156069364,0.34019117280279,0.3041067594379365
Logistic Regression,5 niveles,21,0.6073057357634568,0.3179190751445087,0.3366006220213831,0.1287454632417072
Logistic Regression,5 niveles,42,0.5750496040378129,0.3583815028901734,0.3574754555434065,0.2622359270436951
Random Forest,5 niveles,0,0.6696621354639631,0.4566473988439306,0.4485266524206647,0.2834526811847652
Random Forest,5 niveles,7,0.6886202084077481,0.4682080924855491,0.4560043998553068,0.2584415059242185
Random Forest,5 niveles,13,0.6581357062277831,0.4508670520231214,0.4283981201129563,0.1843548542288078
Random Forest,5 niveles,21,0.6860824787979973,0.4624277456647399,0.4575660000465423,0.2697935002744497
Random Forest,5 niveles,42,0.6614786043170079,0.4219653179190751,0.4146544547608977,0.2528515004983204
SVM,5 niveles,0,0.6724689297277521,0.4508670520231214,0.447059142797394,0.2566696613413539
SVM,5 niveles,7,0.707061118642617,0.5028901734104047,0.4913539873563979,0.2412885734789888
SVM,5 niveles,13,0.6491214917310958,0.4450867052023121,0.4347404780239184,0.2603911012588078
SVM,5 niveles,21,0.6840872517839277,0.4913294797687861,0.4780072839284811,0.2799308909569246
SVM,5 niveles,42,0.6819356567310897,0.4682080924855491,0.4521429405562976,0.2123904454383186
Gradient Boosting,5 niveles,0,0.6378142738692516,0.4046242774566474,0.4048948043293356,0.3550164153358188
Gradient Boosting,5 niveles,7,0.6471281999320565,0.4277456647398844,0.4247201770881764,0.3136753766927331
Gradient Boosting,5 niveles,13,0.6268298310222982,0.4104046242774566,0.3966000992389532,0.167959011405351
Gradient Boosting,5 niveles,21,0.6250689355852512,0.3930635838150289,0.3819706414384456,0.1897204098746242
Gradient Boosting,5 niveles,42,0.6549825943521438,0.4508670520231214,0.4401384494214743,0.2867645565507016
Logistic Regression,3 niveles,0,0.5442299920109028,0.3699421965317919,0.3733124345841109,0.053967571698068
Logistic Regression,3 niveles,7,0.6001226561398562,0.4335260115606936,0.4309589652281642,0.1793379317418395
Logistic Regression,3 niveles,13,0.5589773955543023,0.4046242774566474,0.4099848587002212,0.179273845567025
Logistic Regression,3 niveles,21,0.5923657126744677,0.4046242774566474,0.4076655414068915,0.1409883026975411
Logistic Regression,3 niveles,42,0.5511696978241459,0.3352601156069364,0.3292401035606053,-0.0075905857640712
Random Forest,3 niveles,0,0.6456595704685371,0.5086705202312138,0.4957672552313201,0.2352190255549514
Random Forest,3 niveles,7,0.6942826260632547,0.5491329479768786,0.5405636170523924,0.2664310954063604
Random Forest,3 niveles,13,0.6629207199586447,0.4508670520231214,0.4486456460520295,0.168967447066505
Random Forest,3 niveles,21,0.7055571220452089,0.5086705202312138,0.4978522982458537,0.2951821497939267
Random Forest,3 niveles,42,0.643104939141877,0.5028901734104047,0.4928340802752918,0.1465587432348292
SVM,3 niveles,0,0.6487833074862539,0.4450867052023121,0.4329164761208632,0.1299345504650362
SVM,3 niveles,7,0.7051210113257201,0.5144508670520231,0.5103239313569353,0.2760479466628839
SVM,3 niveles,13,0.6266741858170026,0.4450867052023121,0.4480559411072263,0.2083889418493804
SVM,3 niveles,21,0.7315672728981625,0.5722543352601156,0.5573250213882727,0.3654052083570663
SVM,3 niveles,42,0.6348733493115277,0.4855491329479768,0.4820179628010915,0.1571205445602256
Gradient Boosting,3 niveles,0,0.5861788617886179,0.4219653179190751,0.4175452483420581,0.0912513945704722
Gradient Boosting,3 niveles,7,0.6861168287983457,0.5433526011560693,0.5333891871285077,0.3317409887773994
Gradient Boosting,3 niveles,13,0.6358743362000093,0.4277456647398844,0.4231860743117208,0.1976072116642484
Gradient Boosting,3 niveles,21,0.690026317026176,0.5028901734104047,0.4909359105890897,0.3075521894398773
Gradient Boosting,3 niveles,42,0.6679016871093566,0.4855491329479768,0.4760442465839994,0.134850836351095
