ngram,freq
verduga,11
ahora,10
caso,10
además,9
noboa,8
presidente,8
mira,8
crisis,8
tema,8
ecuador,8
está,8
luis,7
durán,7
2025,7
defensa,7
conéctate ahora,6
chonillo,6
luisa,6
conéctate,6
es,6
augusto verduga,5
además episodio,5
abril,5
augusto,5
ha,5
ligados,5
lasso,5
luis chonillo,5
rc,5
riobamba,5
ministro,5
político,5
iess,5
fraude,5
episodio,5
dice,5
edad,5
correísmo,5
tras,5
vocal,4
villavicencio,4
víctor,4
cpccs,4
consejo,4
hoy,4
fiscalía,4
fue,4
gobierno,4
goyes,4
esmeraldas,4
eduardo peña,4
eduardo,4
denuncias,4
revolución ciudadana,4
país,4
peña,4
salud,4
alcaldes,4
ayerve,4
revolución,4
remoción,4
judicatura,4
jubilados,4
inscríbete,4
ciudadana,4
informe,4
cuánto,3
detrás,3
daniel,3
decisión,3
electoral,3
contamos,3
denuncia,3
entrevista,3
estado,3
enfrenta,3
vinueza,3
guayaquil,3
habla,3
hugo flores,3
hugo,3
gonzález,3
godoy,3
flores,3
falta,3
institucional,3
investigación,3
cada,3
calificó,3
ciudad,3
cne,3
maquiavélico,3
machala,3
ministerio,3
peculado,3
ley,3
luisa gonzález,3
ministro salud,3
mira video,3
justicia,3
completo,3
john,3
john vinueza,3
cargo,3
consejero,3
inglés,3
invitado,3
propuesta,3
queda,3
sarauz,3
reto,3
responde,3
siquiera,3
asambleísta,3
becas,3
programa,3
profunda,3
crédito,3
daniel noboa,3
video,3
vetó,3
solo,3
víctor hugo,3
cuerda floja,2
cursos,2
darío macas,2
darío,2
trabajo,2
tu,2
unidos,2
unidos ecuador,2
vacantes,2
conocer,2
temblor,2
tce,2
sostener,2
aquiles álvarez,2
cuerda,2
consejo judicatura,2
conversaciones,2
crisis municipal,2
topic,2
totalmente,2
vocal consejo,2
video completo,2
875,2
2023,2
verónica sarauz,2
vetó ley,2
hermano abraham,2
he,2
he is,2
hermano,2
habrá,2
guillermo,2
guillermo lasso,2
haber,2
gratis,2
guayaquil riobamba,2
fiebre amarilla,2
fiebre,2
explica,2
flopec,2
flores perjudicado,2
gestión,2
expresidente,2
floja,2
final,2
distancia,2
destitución,2
embajada estados,2
embajada,2
educación,2
enfrenta pedido,2
enero,2
energía,2
enfrentan,2
errores,2
entierra,2
estados,2
estados unidos,2
david,2
dentro,2
desliza,2
desliza conocer,2
desleal,2
diana,2
durán luis,2
dos,2
vs,2
voluntario,2
aquiles,2
análisis,2
militar voluntario,2
mario,2
llamadas,2
macas,2
completo defensa,2
cne entierra,2
caso villavicencio,2
bono,2
caso flopec,2
caso ligados,2
casos,2
jorge,2
is nice,2
institucional conéctate,2
mario godoy,2
medio,2
ilegal,2
ilícita,2
is,2
invitados,2
perjudicado,2
pedidos remoción,2
pedidos,2
pedido remoción,2
peculado expresidente,2
pedido,2
pabel,2
pabel muñoz,2
muñoz,2
nacional,2
noboa vetó,2
nice,2
municipal,2
militar,2
ministros,2
misma,2
quito,2
quedar,2
procesos,2
propios,2
presidencial,2
presidente daniel,2
presunta,2
renuncias,2
responder,2
quién,2
reaparece,2
presuntamente,2
poder,2
podría,2
políticas,2
posesión,2
serie,2
seguridad,2
segunda,2
salió,2
riobamba durán,2
abraham,2
óscar,2
si,2
asamblea,2
archivo,2
bajo,2
autoridades,2
barreto,2
because,2
álvarez,2
sido,2
biess,2
because he,2
solanda goyes,2
solanda,2
abril 2025,2
accede,2
accede crédito,2
abandono,2
acusa,2
afectado,2
aislado,2
alcalde,2
amarilla,2
óscar ayerve,2
verduga es,2
verónica,2
