model,metric,mean,std
baseline_majority,accuracy,0.37037037037037035,0.0
baseline_majority,f1_macro,0.18018018018018017,2.925694557147251e-17
baseline_majority,f1_weighted,0.20020020020020018,0.0
baseline_majority,mae_ordinal,0.9259259259259259,0.0
baseline_majority,kappa_qw,0.0,0.0
random_forest,accuracy,0.4222222222222222,0.08226336419238361
random_forest,f1_macro,0.4109609681584375,0.08008655888424375
random_forest,f1_weighted,0.4134317987320485,0.08079272824672715
random_forest,mae_ordinal,0.7407407407407407,0.13636248169366985
random_forest,kappa_qw,0.20119239971430308,0.19923305934522378
svm_rbf,accuracy,0.4111111111111111,0.044341444434735734
svm_rbf,f1_macro,0.39612425284790337,0.0412773885005996
svm_rbf,f1_weighted,0.3989614376241109,0.04358585643805327
svm_rbf,mae_ordinal,0.7518518518518518,0.07417688338666568
svm_rbf,kappa_qw,0.19416124547019611,0.12695333350653695
